Product code,Station number,Year,Month,Monthly Precipitation Total (millimetres),Quality
IDCJAC0001,086071,1855,04,69.7,Y
IDCJAC0001,086071,1855,05,43.8,Y
IDCJAC0001,086071,1855,06,46.8,Y
IDCJAC0001,086071,1855,07,44.4,Y
IDCJAC0001,086071,1855,08,21.5,Y
IDCJAC0001,086071,1855,09,105.3,Y
IDCJAC0001,086071,1855,10,67.6,Y
IDCJAC0001,086071,1855,11,41.4,Y
IDCJAC0001,086071,1855,12,101.4,Y
IDCJAC0001,086071,1856,01,60.4,Y
IDCJAC0001,086071,1856,02,24.9,Y
IDCJAC0001,086071,1856,03,71.4,Y
IDCJAC0001,086071,1856,04,121.1,Y
IDCJAC0001,086071,1856,05,75.1,Y
IDCJAC0001,086071,1856,06,71.0,Y
IDCJAC0001,086071,1856,07,59.8,Y
IDCJAC0001,086071,1856,08,31.1,Y
IDCJAC0001,086071,1856,09,88.6,Y
IDCJAC0001,086071,1856,10,70.6,Y
IDCJAC0001,086071,1856,11,35.4,Y
IDCJAC0001,086071,1856,12,46.7,Y
IDCJAC0001,086071,1857,01,31.2,Y
IDCJAC0001,086071,1857,02,101.0,Y
IDCJAC0001,086071,1857,03,96.5,Y
IDCJAC0001,086071,1857,04,25.1,Y
IDCJAC0001,086071,1857,05,50.8,Y
IDCJAC0001,086071,1857,06,50.7,Y
IDCJAC0001,086071,1857,07,29.6,Y
IDCJAC0001,086071,1857,08,43.1,Y
IDCJAC0001,086071,1857,09,97.6,Y
IDCJAC0001,086071,1857,10,134.2,Y
IDCJAC0001,086071,1857,11,53.8,Y
IDCJAC0001,086071,1857,12,21.0,Y
IDCJAC0001,086071,1858,01,22.4,Y
IDCJAC0001,086071,1858,02,124.8,Y
IDCJAC0001,086071,1858,03,27.7,Y
IDCJAC0001,086071,1858,04,15.5,Y
IDCJAC0001,086071,1858,05,35.3,Y
IDCJAC0001,086071,1858,06,8.0,Y
IDCJAC0001,086071,1858,07,63.2,Y
IDCJAC0001,086071,1858,08,36.6,Y
IDCJAC0001,086071,1858,09,61.4,Y
IDCJAC0001,086071,1858,10,22.3,Y
IDCJAC0001,086071,1858,11,75.4,Y
IDCJAC0001,086071,1858,12,169.9,Y
IDCJAC0001,086071,1859,01,72.7,Y
IDCJAC0001,086071,1859,02,20.9,Y
IDCJAC0001,086071,1859,03,4.7,Y
IDCJAC0001,086071,1859,04,32.9,Y
IDCJAC0001,086071,1859,05,59.4,Y
IDCJAC0001,086071,1859,06,114.5,Y
IDCJAC0001,086071,1859,07,27.3,Y
IDCJAC0001,086071,1859,08,22.5,Y
IDCJAC0001,086071,1859,09,72.3,Y
IDCJAC0001,086071,1859,10,49.2,Y
IDCJAC0001,086071,1859,11,53.6,Y
IDCJAC0001,086071,1859,12,26.3,Y
IDCJAC0001,086071,1860,01,50.3,Y
IDCJAC0001,086071,1860,02,2.6,Y
IDCJAC0001,086071,1860,03,49.3,Y
IDCJAC0001,086071,1860,04,115.2,Y
IDCJAC0001,086071,1860,05,28.2,Y
IDCJAC0001,086071,1860,06,31.6,Y
IDCJAC0001,086071,1860,07,40.2,Y
IDCJAC0001,086071,1860,08,20.1,Y
IDCJAC0001,086071,1860,09,49.1,Y
IDCJAC0001,086071,1860,10,70.5,Y
IDCJAC0001,086071,1860,11,55.5,Y
IDCJAC0001,086071,1860,12,133.6,Y
IDCJAC0001,086071,1861,01,59.0,Y
IDCJAC0001,086071,1861,02,115.8,Y
IDCJAC0001,086071,1861,03,67.4,Y
IDCJAC0001,086071,1861,04,32.9,Y
IDCJAC0001,086071,1861,05,21.6,Y
IDCJAC0001,086071,1861,06,40.2,Y
IDCJAC0001,086071,1861,07,55.8,Y
IDCJAC0001,086071,1861,08,40.9,Y
IDCJAC0001,086071,1861,09,71.8,Y
IDCJAC0001,086071,1861,10,128.6,Y
IDCJAC0001,086071,1861,11,41.6,Y
IDCJAC0001,086071,1861,12,66.2,Y
IDCJAC0001,086071,1862,01,31.8,Y
IDCJAC0001,086071,1862,02,4.9,Y
IDCJAC0001,086071,1862,03,26.4,Y
IDCJAC0001,086071,1862,04,91.2,Y
IDCJAC0001,086071,1862,05,111.7,Y
IDCJAC0001,086071,1862,06,60.0,Y
IDCJAC0001,086071,1862,07,67.6,Y
IDCJAC0001,086071,1862,08,54.1,Y
IDCJAC0001,086071,1862,09,21.0,Y
IDCJAC0001,086071,1862,10,53.0,Y
IDCJAC0001,086071,1862,11,10.8,Y
IDCJAC0001,086071,1862,12,29.5,Y
IDCJAC0001,086071,1863,01,46.8,Y
IDCJAC0001,086071,1863,02,69.8,Y
IDCJAC0001,086071,1863,03,96.9,Y
IDCJAC0001,086071,1863,04,45.4,Y
IDCJAC0001,086071,1863,05,64.5,Y
IDCJAC0001,086071,1863,06,27.9,Y
IDCJAC0001,086071,1863,07,33.7,Y
IDCJAC0001,086071,1863,08,87.4,Y
