Product code,Bureau of Meteorology station number,Year,Month,Mean maximum temperature (°C),Quality
IDCJAC0002,086071,1855,05,16.4,Y
IDCJAC0002,086071,1855,06,14.0,Y
IDCJAC0002,086071,1855,07,12.7,Y
IDCJAC0002,086071,1855,08,14.9,Y
IDCJAC0002,086071,1855,09,16.8,Y
IDCJAC0002,086071,1855,10,19.9,Y
IDCJAC0002,086071,1855,11,21.7,Y
IDCJAC0002,086071,1855,12,22.6,Y
IDCJAC0002,086071,1856,01,25.1,Y
IDCJAC0002,086071,1856,02,25.2,Y
IDCJAC0002,086071,1856,03,26.2,Y
IDCJAC0002,086071,1856,04,20.1,Y
IDCJAC0002,086071,1856,05,15.4,Y
IDCJAC0002,086071,1856,06,13.4,Y
IDCJAC0002,086071,1856,07,11.6,Y
IDCJAC0002,086071,1856,08,14.9,Y
IDCJAC0002,086071,1856,09,17.1,Y
IDCJAC0002,086071,1856,10,18.6,Y
IDCJAC0002,086071,1856,11,19.6,Y
IDCJAC0002,086071,1856,12,21.3,Y
IDCJAC0002,086071,1857,01,24.5,Y
IDCJAC0002,086071,1857,02,28.0,Y
IDCJAC0002,086071,1857,03,22.7,Y
IDCJAC0002,086071,1857,04,21.3,Y
IDCJAC0002,086071,1857,05,15.0,Y
IDCJAC0002,086071,1857,06,13.2,Y
IDCJAC0002,086071,1857,07,13.9,Y
IDCJAC0002,086071,1857,08,15.6,Y
IDCJAC0002,086071,1857,09,17.1,Y
IDCJAC0002,086071,1857,10,18.9,Y
IDCJAC0002,086071,1857,11,20.9,Y
IDCJAC0002,086071,1857,12,27.1,Y
IDCJAC0002,086071,1858,01,29.6,Y
IDCJAC0002,086071,1858,02,26.2,Y
IDCJAC0002,086071,1858,03,25.3,Y
IDCJAC0002,086071,1858,04,20.5,Y
IDCJAC0002,086071,1858,05,16.8,Y
IDCJAC0002,086071,1858,06,14.0,Y
IDCJAC0002,086071,1858,07,12.0,Y
IDCJAC0002,086071,1858,08,14.9,Y
