Date,Value
2016-03-31,4953.8
2016-02-29,4598.62
2016-01-31,4471.79
2015-12-31,4638.83
2015-11-30,4799.9
2015-10-31,5216.09
2015-09-30,5217.25
2015-08-31,5127.3
2015-07-31,5456.75
2015-06-30,5833.01
2015-05-31,6294.78
2015-04-30,6042.09
2015-03-31,5939.67
2015-02-28,5729.27
2015-01-31,5830.54
2014-12-31,6446.45
2014-11-30,6712.85
2014-10-31,6737.48
2014-09-30,6872.22
2014-08-31,7001.84
2014-07-31,7113.38
2014-06-30,6821.14
2014-05-31,6891.12
2014-04-30,6673.56
2014-03-31,6650.04
2014-02-28,7149.21
2014-01-31,7291.47
2013-12-31,7214.9
2013-11-30,7070.65
2013-10-31,7203.02
2013-09-30,7159.27
2013-08-31,7186.25
2013-07-31,6906.64
2013-06-30,7000.24
2013-05-31,7248.71
2013-04-30,7221.16
2013-03-31,7652.38
2013-02-28,8060.93
2013-01-31,8053.74
2012-12-31,7966.49
2012-11-30,7711.23
2012-10-31,8062.03
2012-09-30,8087.74
2012-08-31,7510.43
2012-07-31,7584.26
2012-06-30,7428.29
2012-05-31,7896.91
2012-04-30,8285.53
2012-03-31,8470.78
2012-02-29,8441.49
2012-01-31,8061.92
2011-12-31,7558.88
2011-11-30,7581.02
2011-10-31,7394.19
2011-09-30,8300.14
2011-08-31,8997.99
2011-07-31,9650.46
2011-06-30,9066.85
2011-05-31,8931.67
2011-04-30,9482.75
2011-03-31,9503.36
2011-02-28,9880.94
2011-01-31,9533.2
2010-12-31,9152.86
2010-11-30,8458.42
2010-10-31,8289.76
2010-09-30,7729.59
2010-08-31,7302.67
2010-07-31,6750.57
2010-06-30,6501.5
2010-05-31,6843.18
2010-04-30,7729.85
2010-03-31,7466.96
2010-02-28,6867.69
2010-01-31,7367.39
2009-12-31,6976.98
2009-11-30,6682.44
2009-10-31,6305.99
2009-09-30,6195.75
2009-08-31,6176.88
2009-07-31,5240.83
2009-06-30,5013.3
2009-05-31,4594.9
2009-04-30,4436.93
2009-03-31,3770.88
2009-02-28,3328.41
2009-01-31,3260.36
2008-12-31,3105.1
2008-11-30,3729.19
2008-10-31,4894.89
2008-09-30,6975.11
2008-08-31,7633.8
2008-07-31,8407.02
2008-06-30,8292.0
2008-05-31,8356.12
2008-04-30,8714.18
2008-03-31,8434.32
2008-02-29,7941.14
2008-01-31,7078.91
2007-12-31,6630.74
2007-11-30,6957.43
2007-10-31,8020.59
2007-09-30,7671.35
2007-08-31,7500.2
2007-07-31,7980.93
