Date,Value
2016-03-31,1801.69
2016-02-29,1709.85
2016-01-31,1520.36
2015-12-31,1527.79
2015-11-30,1583.31
2015-10-31,1724.34
2015-09-30,1720.23
2015-08-31,1807.64
2015-07-31,2000.68
2015-06-30,2082.09
2015-05-31,2281.8
2015-04-30,2212.72
2015-03-31,2028.73
2015-02-28,2097.76
2015-01-31,2113.05
2014-12-31,2175.76
2014-11-30,2253.22
2014-10-31,2276.83
2014-09-30,2294.59
2014-08-31,2326.99
2014-07-31,2310.62
2014-06-30,2128.1
2014-05-31,2058.97
2014-04-30,2027.21
2014-03-31,2007.9
2014-02-28,2034.53
2014-01-31,2036.93
2013-12-31,1974.97
2013-11-30,1866.42
2013-10-31,1884.84
2013-09-30,1846.88
2013-08-31,1896.39
2013-07-31,1837.62
2013-06-30,1839.01
2013-05-31,1831.01
2013-04-30,1855.6
2013-03-31,1929.15
2013-02-28,2128.69
2013-01-31,2031.41
2012-12-31,2040.43
2012-11-30,1912.4
2012-10-31,1903.96
2012-09-30,2009.85
2012-08-31,1816.32
2012-07-31,1847.75
2012-06-30,1855.93
2012-05-31,1928.01
2012-04-30,2002.68
2012-03-31,2035.92
2012-02-29,2057.79
2012-01-31,1989.23
2011-12-31,1911.15
2011-11-30,1935.32
2011-10-31,1871.42
2011-09-30,2075.22
2011-08-31,2199.24
2011-07-31,2397.75
2011-06-30,2234.47
2011-05-31,2159.6
2011-04-30,2371.48
2011-03-31,2341.48
2011-02-28,2473.45
2011-01-31,2375.81
2010-12-31,2287.32
2010-11-30,2283.3
2010-10-31,2373.56
2010-09-30,2150.94
2010-08-31,2047.48
2010-07-31,1847.03
2010-06-30,1746.51
2010-05-31,1969.82
2010-04-30,2367.53
2010-03-31,2277.29
2010-02-28,2158.82
2010-01-31,2414.69
2009-12-31,2374.04
2009-11-30,2196.55
2009-10-31,2070.84
2009-09-30,1879.15
2009-08-31,1818.01
2009-07-31,1582.85
2009-06-30,1555.46
2009-05-31,1491.89
2009-04-30,1388.14
2009-03-31,1223.22
2009-02-28,1118.0
2009-01-31,1202.52
2008-12-31,1112.9
2008-11-30,1169.36
2008-10-31,1303.0
2008-09-30,1744.52
2008-08-31,1734.65
2008-07-31,1856.45
2008-06-30,1906.17
2008-05-31,2178.32
2008-04-30,2278.51
2008-03-31,2511.18
2008-02-29,2458.48
2008-01-31,2364.41
2007-12-31,2378.6
2007-11-30,2554.6
2007-10-31,2979.99
2007-09-30,2887.6
2007-08-31,3244.17
2007-07-31,3546.3
2007-06-30,3628.65
2007-05-31,3847.52
2007-04-30,3566.86
2007-03-31,3256.18
2007-02-28,3321.38
2007-01-31,3784.86
2006-12-31,4381.45
2006-11-30,4378.61
2006-10-31,3829.6
2006-09-30,3394.06
2006-08-31,3339.97
2006-07-31,3320.74
2006-06-30,3197.59
2006-05-31,3544.64
2006-04-30,3068.34
2006-03-31,2427.66
2006-02-28,2219.74
2006-01-31,2091.77
2005-12-31,1819.36
2005-11-30,1610.65
2005-10-31,1483.22
2005-09-30,1396.66
2005-08-31,1300.75
2005-07-31,1196.86
2005-06-30,1273.12
2005-05-31,1245.54
2005-04-30,1297.81
2005-03-31,1373.96
2005-02-28,1323.11
2005-01-31,1245.55
2004-12-31,1182.14
2004-11-30,1100.23
2004-10-31,1066.95
2004-09-30,980.03
2004-08-31,976.8
2004-07-31,988.1
2004-06-30,1018.86
2004-05-31,1030.98
2004-04-30,1028.91
2004-03-31,1101.8
2004-02-29,1085.79
2004-01-31,1015.89
2003-12-31,976.76
2003-11-30,914.24
2003-10-31,900.1
2003-09-30,818.94
2003-08-31,815.2
2003-07-31,828.5
2003-06-30,790.66
2003-05-31,776.12
