STATION,ELEVATION,LATITUDE,LONGITUDE,DATE,DT90,Missing,Consecutive Missing,DX32,Missing,Consecutive Missing,DT00,Missing,Consecutive Missing,DT32,Missing,Consecutive Missing,DP01,Missing,Consecutive Missing,DP05,Missing,Consecutive Missing,DP10,Missing,Consecutive Missing,EMXP,Missing,Consecutive Missing,TPCP,Missing,Consecutive Missing,EMXT,Missing,Consecutive Missing,EMNT,Missing,Consecutive Missing,MMXT,Missing,Consecutive Missing,MMNT,Missing,Consecutive Missing,MNTM,Missing,Consecutive Missing
GHCND:USC00085607,unknown,28.11667,-80.75,19500101,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,2,0,0,0,0,0,0,0,0,0.2,0,0,0.5,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0
GHCND:USC00085607,unknown,28.11667,-80.75,19500201,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,2,0,0,0,0,0,0,0,0,0.3,0,0,0.5,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0
GHCND:USC00085607,unknown,28.11667,-80.75,19500301,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,8,0,0,4,0,0,2,0,0,1.7,0,0,5.5,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0
GHCND:USC00085607,unknown,28.11667,-80.75,19500401,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,4,0,0,3,0,0,1,0,0,1.8,0,0,3.6,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0
GHCND:USC00085607,unknown,28.11667,-80.75,19500601,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,6,0,0,2,0,0,2,0,0,1.2,0,0,2.9,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0
GHCND:USC00085607,unknown,28.11667,-80.75,19500701,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,10,0,0,1,0,0,0,0,0,0.5,0,0,3.2,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0
GHCND:USC00085607,unknown,28.11667,-80.75,19500801,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,8,0,0,1,0,0,1,0,0,1.6,0,0,3.1,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0
GHCND:USC00085607,unknown,28.11667,-80.75,19500901,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,7,0,0,5,0,0,2,0,0,1.4,0,0,4.9,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0
GHCND:USC00085607,unknown,28.11667,-80.75,19501001,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,8,0,0,5,0,0,3,0,0,3,0,0,10.8,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0
GHCND:USC00085607,unknown,28.11667,-80.75,19501101,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,2,0,0,1,0,0,0,0,0,0.7,0,0,1.3,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0
GHCND:USC00085607,unknown,28.11667,-80.75,19501201,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,4,0,0,0,0,0,0,0,0,0.4,0,0,1.3,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0
GHCND:USC00085607,unknown,28.11667,-80.75,19510101,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0
GHCND:USC00085607,unknown,28.11667,-80.75,19510201,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,3,0,0,1,0,0,1,0,0,2,0,0,2.6,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0
GHCND:USC00085607,unknown,28.11667,-80.75,19510301,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,3,0,0,0,0,0,0,0,0,0.4,0,0,0.9,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0
GHCND:USC00085607,unknown,28.11667,-80.75,19510401,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,6,0,0,4,0,0,3,0,0,2.4,0,0,6.5,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0
GHCND:USC00085607,unknown,28.11667,-80.75,19510501,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,5,0,0,1,0,0,0,0,0,0.6,0,0,2,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0
GHCND:USC00085607,unknown,28.11667,-80.75,19510601,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,8,0,0,1,0,0,0,0,0,0.5,0,0,2.5,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0
GHCND:USC00085607,unknown,28.11667,-80.75,19510701,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,10,0,0,5,0,0,3,0,0,1.4,0,0,6.6,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0
GHCND:USC00085607,unknown,28.11667,-80.75,19510801,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,9,0,0,5,0,0,2,0,0,1.6,0,0,5.6,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0
GHCND:USC00085607,unknown,28.11667,-80.75,19510901,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,11,0,0,7,0,0,3,0,0,1.4,0,0,7.6,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0
GHCND:US1FLBV0025,9.1,28.201,-80.7055,20080801,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,1,0,0,0,0,0,0,0,0,0.3,0,0,0.3,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0
GHCND:US1FLBV0025,9.1,28.201,-80.7055,20080901,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,8,0,0,3,0,0,0,0,0,0.6,0,0,3.3,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0
GHCND:US1FLBV0025,9.1,28.201,-80.7055,20081001,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,11,0,0,7,0,0,2,0,0,1.4,0,0,7.4,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0
GHCND:US1FLBV0025,9.1,28.201,-80.7055,20081101,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,3,0,0,1,0,0,1,0,0,1.7,0,0,2.2,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0
GHCND:US1FLBV0025,9.1,28.201,-80.7055,20081201,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,3,0,0,1,0,0,0,0,0,0.6,0,0,1.1,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0
GHCND:US1FLBV0025,9.1,28.201,-80.7055,20090101,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,3,0,0,1,0,0,0,0,0,0.6,0,0,1.1,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0
GHCND:US1FLBV0025,9.1,28.201,-80.7055,20090201,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,1,0,0,1,0,0,0,0,0,0.5,0,0,0.6,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0
GHCND:US1FLBV0025,9.1,28.201,-80.7055,20090301,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,2,0,0,0,0,0,0,0,0,0.5,0,0,0.8,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0
GHCND:US1FLBV0025,9.1,28.201,-80.7055,20090401,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,3,0,0,0,0,0,0,0,0,0.3,0,0,1,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0
GHCND:US1FLBV0025,9.1,28.201,-80.7055,20090501,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,8,0,0,3,0,0,3,0,0,5.3,0,0,13,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0
GHCND:US1FLBV0025,9.1,28.201,-80.7055,20090601,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,7,0,0,3,0,0,1,0,0,1.3,0,0,3.9,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0
GHCND:US1FLBV0025,9.1,28.201,-80.7055,20090701,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,13,0,0,8,0,0,3,0,0,4.8,0,0,11.5,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0
GHCND:US1FLBV0025,9.1,28.201,-80.7055,20090801,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,7,0,0,4,0,0,0,0,0,0.9,0,0,3.6,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0
GHCND:US1FLBV0025,9.1,28.201,-80.7055,20090901,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,12,0,0,5,0,0,2,0,0,2.1,0,0,6.9,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0
GHCND:US1FLBV0025,9.1,28.201,-80.7055,20091001,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,4,0,0,0,0,0,0,0,0,0.4,0,0,1.2,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0
GHCND:US1FLBV0025,9.1,28.201,-80.7055,20091101,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,2,0,0,0,0,0,0,0,0,0.2,0,0,0.4,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0
GHCND:US1FLBV0025,9.1,28.201,-80.7055,20091201,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,8,0,0,3,0,0,3,0,0,2.4,0,0,6.6,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0
GHCND:US1FLBV0025,9.1,28.201,-80.7055,20100101,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,5,0,0,1,0,0,0,0,0,0.5,0,0,1.3,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0
GHCND:US1FLBV0025,9.1,28.201,-80.7055,20100201,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,8,0,0,2,0,0,0,0,0,0.6,0,0,3.2,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0
GHCND:US1FLBV0025,9.1,28.201,-80.7055,20100301,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,7,0,0,5,0,0,4,0,0,2.9,0,0,8.7,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0
GHCND:US1FLBV0025,9.1,28.201,-80.7055,20100401,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,2,0,0,1,0,0,1,0,0,1.5,0,0,1.9,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0
GHCND:US1FLBV0025,9.1,28.201,-80.7055,20100501,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,2,0,0,0,0,0,0,0,0,0.4,0,0,0.7,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0
GHCND:US1FLBV0025,9.1,28.201,-80.7055,20100601,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,8,0,0,4,0,0,0,0,0,1,0,0,4.6,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0
